Federal Provider Number,longest_streak
115544,0
115545,0
115547,0
115550,0
115551,0
115552,0
115553,0
115554,0
115555,0
115556,0
115558,0
115559,0
115560,0
115561,0
115562,0
115563,0
115564,0
115565,0
115566,0
115568,0
115569,0
115570,0
115571,0
115573,0
115575,0
115576,0
115577,0
115578,0
115579,0
115580,0
115582,0
115584,0
115585,0
115586,0
115587,0
115588,0
115592,0
115593,0
115595,0
115596,0
115597,0
115598,0
115599,0
115600,0
115601,0
115603,0
115604,0
115605,0
115606,0
115607,0
115608,0
115610,0
115611,0
115612,0
115613,0
115614,0
115615,0
115616,0
115617,0
115618,0
115619,0
115621,0
115622,0
115624,0
115625,0
115626,0
115627,0
115628,0
115629,0
115630,0
115631,0
115633,0
115635,0
115636,0
115638,0
115641,0
115642,0
115643,0
115644,0
115645,0
115647,0
115649,0
115651,0
115652,0
115654,0
115655,0
115656,0
115657,0
115658,0
115659,0
115660,0
115663,0
115665,0
115667,0
115668,0
115670,0
115671,0
115672,0
115673,0
115674,0
115675,0
115676,0
115677,0
115679,0
115680,0
115681,0
115682,0
115683,0
115684,0
115685,0
115686,0
115687,0
115688,0
115689,0
