Federal Provider Number,longest_streak
055070,0
055072,0
055074,0
055076,0
055077,0
055078,0
055079,0
055084,0
055085,0
055092,0
055093,0
055099,0
055104,0
055105,0
055107,0
055109,0
055111,0
055114,0
055115,0
055116,0
055119,0
055121,0
055123,0
055126,0
055129,0
055135,0
055136,0
055139,0
055141,0
055142,0
055146,0
055147,0
055150,0
055153,0
055155,0
055156,0
055157,0
055160,0
055161,0
055162,0
055163,0
055167,0
055168,0
055169,0
055170,0
055173,0
055175,0
055181,0
055182,0
055183,0
055185,0
055187,0
055188,0
055189,0
055191,0
055192,0
055196,0
055199,0
055201,0
055202,0
055203,0
055204,0
055206,0
055208,0
055210,0
055211,0
055212,0
055213,0
055215,0
055222,0
055223,0
055237,0
055239,0
055240,0
055241,0
055242,0
055247,0
055249,0
055252,0
055253,0
055255,0
055256,0
055258,0
055259,0
055261,0
055262,0
055268,0
055271,0
055276,0
055280,0
055282,0
055283,0
055286,0
055287,0
055288,0
055289,0
055292,0
055293,0
055296,0
055297,0
055298,0
055299,0
055303,0
055304,0
055305,0
055307,0
055308,0
055310,0
055311,0
055315,0
055316,0
055318,0
055322,0
055328,0
055329,0
055330,0
055331,0
055335,0
055338,0
055341,0
055342,0
055344,0
055350,0
055353,0
055354,0
055356,0
055360,0
055361,0
055364,0
055367,0
055372,0
055374,0
055376,0
055387,0
055388,0
055394,0
055401,0
055402,0
055407,0
055408,0
055409,0
055410,0
055412,0
055417,0
055423,0
055430,0
055434,0
055435,0
055438,0
055441,0
055443,0
055446,0
055448,0
055449,0
055454,0
055457,0
055459,0
055461,0
055462,0
055464,0
055466,0
055473,0
055474,0
055475,0
055480,0
055481,0
055488,0
055489,0
055491,0
055493,0
055497,0
055499,0
055500,0
055504,0
055505,0
055508,0
055510,0
055512,0
055516,0
055517,0
055518,0
055519,0
055523,0
055525,0
055526,0
055527,0
055531,0
055534,0
055538,0
055539,0
055540,0
055541,0
055542,0
055544,0
055548,0
055551,0
055557,0
055559,0
055562,0
055563,0
055565,0
055566,0
055568,0
055570,0
055571,0
055573,0
055575,0
055581,0
055585,0
055597,0
055598,0
055601,0
055604,0
055608,0
055612,0
055617,0
055619,0
055622,0
055626,0
055632,0
055635,0
055640,0
055645,0
055646,0
055649,0
055650,0
055653,0
055656,0
055658,0
055662,0
055664,0
055670,0
055671,0
055674,0
055677,0
055684,0
055685,0
055689,0
055693,0
055697,0
055698,0
055704,0
055706,0
055707,0
055708,0
055710,0
055711,0
055715,0
055718,0
055719,0
055728,0
055733,0
055734,0
055735,0
055737,0
055739,0
055742,0
055744,0
055748,0
055750,0
055753,0
055755,0
055756,0
055758,0
055760,0
055761,0
055764,0
055775,0
055776,0
055795,0
055797,0
055798,0
055799,0
055800,0
055806,0
055807,0
055809,0
055816,0
055817,0
055818,0
055826,0
055830,0
055833,0
055839,0
055845,0
055846,0
055848,0
055849,0
055850,0
055853,0
055854,0
055855,0
055856,0
055858,0
055861,0
055862,0
055866,0
055869,0
055870,0
055871,0
055872,0
055873,0
055874,0
055876,0
055884,0
055885,0
055886,0
055887,0
055888,0
055890,0
055892,0
055894,0
055899,0
055906,0
055910,0
055914,0
055916,0
055917,0
055918,0
055919,0
055922,0
055929,0
055932,0
055935,0
055952,0
055954,0
055955,0
055956,0
055957,0
055959,0
055960,0
055962,0
055963,0
055964,0
055968,0
055975,0
055977,0
055979,0
055983,0
055984,0
055987,0
055988,0
055989,0
055991,0
055992,0
055995,0
055996,0
056007,0
056008,0
056010,0
056014,0
